4137,nsf/949,NSF,2007-03-08,Norway,,Fræna,Klubbmesterskap
4138,nsf/95,NSF,2000-10-14,Norway,,Skogn,Regionsmesterskap
4139,nsf/950,NSF,2007-03-17,Norway,,Ørskog,KM
4140,nsf/951,NSF,2007-03-17,Norway,,Røros,Klubbstevne
4141,nsf/952,NSF,2007-03-23,Norway,,Rana,Klubbstevne
4142,nsf/953,NSF,2007-03-24,Norway,,Sande,Benk-cup
4143,nsf/954,NSF,2007-03-24,Norway,,Bergen,KM
4144,nsf/955,NSF,2007-03-26,Norway,,Frogner,Seriestevne
4145,nsf/956,NSF,2007-03-28,Norway,,Brumunddal,Seriestevne
4146,nsf/957,NSF,2007-03-31,Norway,,Ganddal,Seriestevne
4147,nsf/958,NSF,2007-04-06,Norway,,Varhol,Åpent stevne
4148,nsf/959,NSF,2007-04-09,Norway,,Fræna,Klubbstevne
4149,nsf/96,NSF,2000-10-14,Norway,,Stavanger,Klubbmesterskap
4150,nsf/960,NSF,2007-04-11,Norway,,Askim,Seriestevne
4151,nsf/961,NSF,2007-04-13,Norway,,Melhus,Klubbmesterskap
4152,nsf/962,NSF,2007-04-14,Norway,,Steinkjer,Klubbstevne
4153,nsf/963,NSF,2007-04-14,Norway,,Haukelandshallen,Åpent stevne
4154,nsf/964,NSF,2007-04-21,Norway,,Fræna,Åpent stevne
4155,nsf/966,NSF,2007-04-21,Norway,,Sande,Seriestevne
4156,nsf/967,NSF,2007-04-21,Norway,,Trondheim,Klubbstevne
4157,nsf/968,NSF,2007-04-23,Norway,,Alta,Serietevne
4158,nsf/969,NSF,2007-04-23,Norway,,Gressvik,Seriestevne
4159,nsf/970,NSF,2007-04-24,Norway,,Lørenskoghallen,Seriestevne
4160,nsf/971,NSF,2007-04-26,Norway,,Halden,Seriestevne
4161,nsf/972,NSF,2007-04-28,Norway,,Spikkestad,Seriestevne
4162,nsf/973,NSF,2007-04-28,Norway,,Hommersåk,Klubbstevne
4163,nsf/974,NSF,2007-04-28,Norway,,Grubhei,Klubbstevne
4164,nsf/975,NSF,2007-04-28,Norway,,Brumunddal,KM benkpress
4165,nsf/977,NSF,2007-05-11,Norway,,Fræna,Klubbstevne
4166,nsf/979,NSF,2007-05-12,Norway,,Varhol,Åpent stevne
4167,nsf/98,NSF,2000-10-21,Norway,,Hammerfest,Regionsmesterskap
4168,nsf/980,NSF,2007-05-16,Norway,,Førde,Åpent stevne
4169,nsf/981,NSF,2007-05-19,Norway,,Grubbhei,Seriestevne
4170,nsf/982,NSF,2007-05-19,Norway,,Ulefoss,Seriestevne/Benk-cup
4171,nsf/983,NSF,2007-05-19,Norway,,Brumunddal,Seriestevne
4172,nsf/984,NSF,2007-05-21,Norway,,Frogner,Seriestevne
4173,nsf/986,NSF,2007-06-02,Norway,,Brumunddal,Nasjonalt Ung og Jr
4174,nsf/987,NSF,2007-06-06,Norway,,Oslo,Seriestevne
4175,nsf/988,NSF,2007-06-09,Norway,,Hommersåk,RM
4176,nsf/989,NSF,2007-06-09,Norway,,Spikkestad,Åpent stevne
